window,k,beta,n_samples,accuracy,balanced_accuracy,precision,recall,f1,kappa,pred_positive_rate
120,2.5,1.5,656977,0.7568103601800368,0.6455968197887393,0.3654441844963469,0.4715490344885741,0.41177120303963005,0.26158357088910156,0.2329183517840046
120,2.0,1.5,656977,0.7251943370924705,0.6359622007455549,0.32759493952701385,0.49631503499451896,0.39467975604931316,0.22645438315334132,0.2734753271423505
240,2.5,1.5,656857,0.7382565763933397,0.6324268250038382,0.3373644525987919,0.4668072365369207,0.39166802301307047,0.2303900093556932,0.24976060238377606
500,2.5,1.5,656597,0.7264623505742488,0.6265578111692999,0.32275748567189955,0.47027433232291677,0.38279563980260894,0.2148261897919388,0.2628141767324554
360,2.5,1.5,656737,0.7274464511669054,0.6262226014081961,0.32341013986218003,0.4678686891708239,0.3824529929273762,0.21499652975075756,0.2609613894146363
240,2.0,1.5,656857,0.7087341689287013,0.6261795913695135,0.3091471892132945,0.4969847762830515,0.38118187404987547,0.20402813191483082,0.29017731408815006
720,2.5,1.5,656377,0.7243748638358748,0.6252133170847505,0.32020548930270554,0.47008200528684957,0.3809318496010074,0.21177343641244695,0.2648310346035891
500,2.0,1.5,656597,0.697534408472777,0.623797122787736,0.30018594310041424,0.5084478143760607,0.3774981820005517,0.19487186956306368,0.3055131229658375
720,2.0,1.5,656377,0.6959933087234927,0.6237135978123732,0.29922993932555353,0.5106370400398625,0.3773407100218742,0.19398427535827445,0.30784442477417706
360,2.0,1.5,656737,0.6981805502050288,0.6214897553819793,0.29919677703638425,0.5015151898841027,0.3747957683839996,0.19227776341189617,0.30236609175362433
720,1.5,1.5,656377,0.6379275934409646,0.6236310582929777,0.2721098315605209,0.6012651279062893,0.3746618812558546,0.1680112393533757,0.39860781227861425
120,2.5,2.0,656977,0.8056705181459929,0.6150921963768057,0.4460986845229615,0.31683953115777047,0.37051938190890354,0.25949875218124074,0.12820540140674636
720,1.0,1.5,656377,0.5324638127173865,0.6220961952042479,0.24461722325955756,0.7623197952823735,0.37038374421429276,0.1337833708151034,0.5621784431812815
500,1.5,1.5,656597,0.6358040015412803,0.6175486318604118,0.26807681517549353,0.5889912439944948,0.36845357884228375,0.16027601731296093,0.39629940435305067
120,1.5,1.5,656977,0.6571752131353152,0.616852595364288,0.2759479947557737,0.5537482081119824,0.36834134494034765,0.1678335061566465,0.3622288147073642
720,1.0,2.0,656377,0.5753918860654776,0.6157795533144732,0.25038307732555964,0.6789632369707872,0.36585049523198426,0.13886795755065973,0.4891761899030588
120,2.5,1.2,656977,0.6533714270058161,0.6135488094695556,0.27251466376517963,0.551226916266127,0.36471976499928865,0.16235965088454984,0.36512237110279355
240,1.5,1.5,656857,0.6445208013311877,0.6127807820393192,0.2687109601390946,0.5631088432505377,0.3638132136697645,0.15805167537648157,0.3782619352461799
360,1.5,1.5,656737,0.6351614116457578,0.6118771439213648,0.26476619543265495,0.5754513915267543,0.36266814205193815,0.1535101054619914,0.39205953067970895
500,1.0,1.5,656597,0.5268528488555385,0.6101789843526539,0.23855674028941357,0.7405284000236421,0.3608634916977491,0.12103811566532796,0.5599172704109218
720,2.5,1.2,656377,0.6349201754479514,0.6100162370112763,0.2636582351037406,0.571055765284147,0.3607548337530411,0.1512624373627215,0.39071600619765773
120,2.0,2.0,656977,0.7726830619641175,0.6091016908400633,0.3657117903930131,0.35309891221856815,0.3592946930370243,0.22117731058554135,0.17428311797825494
720,1.5,2.0,656377,0.6955987184194449,0.6078263933188388,0.28893418179743696,0.4705127230653593,0.3580163611009363,0.17320656188773842,0.2937625785181382
240,2.5,1.2,656857,0.6418231060946294,0.6069028803631313,0.2643845240690942,0.5522540378695231,0.3575814999986347,0.15009169772829034,0.37704096934340353
720,2.0,1.2,656377,0.6095673675342067,0.6063990670439103,0.2540725095792275,0.6014424822856757,0.35723512105562816,0.138798619331729,0.42703202580224475
500,2.5,1.2,656597,0.6311573156746071,0.6060936754489022,0.26020060149443464,0.5668859186206547,0.35668349904504365,0.1453703549035965,0.3929716401384715
360,2.5,1.2,656737,0.6350593921158698,0.6053665009250678,0.261062417941166,0.558915140925321,0.3558920278637771,0.1458450279805491,0.38619569173047963
720,1.0,2.5,656377,0.5881254218231291,0.6044761241200741,0.24773198204181388,0.6300556554933407,0.355632569103637,0.13044771703823133,0.4587973070354385
720,1.0,1.2,656377,0.4742076580989279,0.6028226645474755,0.2282405176485255,0.8040318562247164,0.3555508249863685,0.10366532486641344,0.6354838758823055
720,1.5,1.2,656377,0.5600698988538599,0.6035013377397048,0.2413886282832515,0.6714467894634608,0.3551124689571385,0.12214452978573132,0.5017863209710273
120,2.0,1.2,656977,0.6260888889565388,0.604319406945993,0.2578065135925402,0.5702504427017455,0.3550825275726366,0.14169112141397144,0.3992727294867248
500,1.0,2.0,656597,0.5649310002939398,0.6023774499336771,0.24175854720652273,0.6609559835518817,0.3540250054836587,0.12215557690529211,0.49313353548675976
360,1.0,1.5,656737,0.526091875438722,0.6014235955054765,0.23461807448525,0.719272033562089,0.35382318806277546,0.11234727129435285,0.5530158952518284
500,1.5,2.0,656597,0.6884283662581462,0.6035269970986533,0.28206840720501924,0.47071339913706484,0.3527539524097281,0.16422354223851043,0.3010065534871466
500,2.0,1.2,656597,0.6058556466142855,0.6017552271017685,0.25058195943520617,0.5953408256144824,0.35270753607963784,0.13244829251847423,0.42853835762271225
240,1.0,1.5,656857,0.5328176452408971,0.5982879135769614,0.23438606389731292,0.7007464260110488,0.35127684762387956,0.1107016125382777,0.539653227414795
240,2.0,1.2,656857,0.6164370631659555,0.6003547784358535,0.25279214159948105,0.5751866065027622,0.3512231549672967,0.13405539308860992,0.4107058309495065
240,2.5,2.0,656857,0.7937846441462906,0.6048162639479229,0.4063626182318175,0.30908784211192175,0.3511123459865484,0.23121063161366517,0.137294723204594
360,2.0,1.2,656737,0.609533192130183,0.5994357291461355,0.2502868767895863,0.5836393257193987,0.3503361893807731,0.1308903164057731,0.4206417485233815
120,1.0,1.5,656977,0.5421772756123883,0.5967078033554618,0.23515730163944912,0.682047390167805,0.3497331082030583,0.11110120847407345,0.5235449642833767
500,2.0,2.0,656597,0.7565203618048818,0.6029352067307618,0.33730691607573365,0.3626776320788969,0.34953249733495,0.2000040013316564,0.19394088002229679
360,2.0,2.0,656737,0.7573320827058625,0.6024983693078468,0.33802984223531646,0.3602775456456228,0.348799293918629,0.19986709941058445,0.19225961077265327
240,2.0,2.0,656857,0.7626545808296175,0.6023856808562928,0.34533780705024647,0.35157086830008855,0.3484264638274752,0.20334049189261771,0.18376145797334884
360,2.5,2.0,656737,0.7882653177756088,0.6029355868502462,0.3913603309797465,0.31300699772932544,0.3478256791235179,0.22330507722162107,0.14427236473656882
500,1.5,1.2,656597,0.5543567820139294,0.5942969218876127,0.23589280136348612,0.6567764052248951,0.3471136339295277,0.11121343894413982,0.5021999795917435
360,1.5,2.0,656737,0.6871533048998305,0.5984490682948193,0.2779765702764095,0.45968075497817956,0.3464494293384907,0.15690328129301012,0.2983005373536134
500,1.0,1.2,656597,0.46652665181229885,0.5892488041707958,0.22193624217419464,0.7812265162581375,0.3456716785940451,0.09002605360820315,0.6349252281079566
